Episode,Seed,Score,Algorithm
153,Seed_0,13.779999999999998,DQN
154,Seed_0,1.5999999999999999,DQN
155,Seed_0,8.520000000000001,DQN
156,Seed_0,3.0099999999999993,DQN
157,Seed_0,0.0,DQN
158,Seed_0,1.78,DQN
159,Seed_0,6.469999999999997,DQN
160,Seed_0,10.589999999999996,DQN
161,Seed_0,0.0,DQN
162,Seed_0,11.069999999999997,DQN
163,Seed_0,11.069999999999997,DQN
164,Seed_0,0.29000000000000004,DQN
165,Seed_0,0.43000000000000005,DQN
166,Seed_0,2.75,DQN
167,Seed_0,11.069999999999997,DQN
168,Seed_0,5.299999999999997,DQN
169,Seed_0,12.350000000000001,DQN
170,Seed_0,0.0,DQN
171,Seed_0,2.13,DQN
172,Seed_0,1.73,DQN
173,Seed_0,0.0,DQN
174,Seed_0,5.429999999999998,DQN
175,Seed_0,7.449999999999997,DQN
176,Seed_0,0.0,DQN
177,Seed_0,1.5699999999999998,DQN
178,Seed_0,0.0,DQN
179,Seed_0,1.8499999999999996,DQN
180,Seed_0,2.7699999999999996,DQN
181,Seed_0,0.0,DQN
182,Seed_0,8.239999999999998,DQN
183,Seed_0,5.669999999999996,DQN
184,Seed_0,10.749999999999996,DQN
185,Seed_0,6.949999999999997,DQN
186,Seed_0,0.0,DQN
187,Seed_0,10.749999999999996,DQN
188,Seed_0,0.78,DQN
189,Seed_0,1.08,DQN
190,Seed_0,11.389999999999997,DQN
191,Seed_0,11.229999999999997,DQN
192,Seed_0,0.0,DQN
193,Seed_0,0.0,DQN
194,Seed_0,11.069999999999997,DQN
195,Seed_0,3.23,DQN
196,Seed_0,1.0,DQN
197,Seed_0,14.010000000000005,DQN
198,Seed_0,2.969999999999999,DQN
199,Seed_0,8.010000000000002,DQN
200,Seed_0,6.400000000000002,DQN
201,Seed_0,3.55,DQN
202,Seed_0,0.0,DQN
203,Seed_0,0.0,DQN
204,Seed_0,0.30000000000000004,DQN
205,Seed_0,0.10999999999999999,DQN
206,Seed_0,7.020000000000001,DQN
207,Seed_0,5.800000000000001,DQN
208,Seed_0,1.9700000000000002,DQN
209,Seed_0,3.909999999999999,DQN
210,Seed_0,5.0600000000000005,DQN
211,Seed_0,0.0,DQN
212,Seed_0,0.0,DQN
213,Seed_0,0.0,DQN
214,Seed_0,0.9299999999999999,DQN
215,Seed_0,0.0,DQN
216,Seed_0,0.44999999999999996,DQN
217,Seed_0,0.0,DQN
218,Seed_0,0.0,DQN
219,Seed_0,3.9799999999999986,DQN
220,Seed_0,0.0,DQN
221,Seed_0,0.20000000000000007,DQN
222,Seed_0,11.869999999999997,DQN
223,Seed_0,1.13,DQN
224,Seed_0,11.709999999999994,DQN
225,Seed_0,0.4700000000000001,DQN
226,Seed_0,0.0,DQN
227,Seed_0,11.069999999999997,DQN
228,Seed_0,1.73,DQN
229,Seed_0,0.0,DQN
230,Seed_0,0.0,DQN
231,Seed_0,0.43000000000000005,DQN
232,Seed_0,11.389999999999993,DQN
233,Seed_0,11.069999999999997,DQN
234,Seed_0,0.0,DQN
235,Seed_0,0.77,DQN
236,Seed_0,0.0,DQN
237,Seed_0,10.749999999999996,DQN
238,Seed_0,0.0,DQN
239,Seed_0,2.5599999999999996,DQN
240,Seed_0,10.909999999999997,DQN
241,Seed_0,0.0,DQN
242,Seed_0,0.0,DQN
243,Seed_0,5.8299999999999965,DQN
244,Seed_0,0.0,DQN
245,Seed_0,11.389999999999997,DQN
246,Seed_0,2.4299999999999993,DQN
247,Seed_0,10.749999999999996,DQN
248,Seed_0,0.27,DQN
249,Seed_0,0.0,DQN
250,Seed_0,1.7299999999999995,DQN
251,Seed_0,0.0,DQN
252,Seed_0,11.069999999999997,DQN
253,Seed_0,10.589999999999996,DQN
254,Seed_0,10.589999999999996,DQN
255,Seed_0,11.229999999999993,DQN
256,Seed_0,0.29000000000000004,DQN
257,Seed_0,2.0500000000000003,DQN
258,Seed_0,0.27,DQN
259,Seed_0,0.27,DQN
260,Seed_0,6.030000000000001,DQN
261,Seed_0,1.5199999999999996,DQN
262,Seed_0,3.59,DQN
263,Seed_0,11.229999999999997,DQN
264,Seed_0,4.0699999999999985,DQN
265,Seed_0,0.43000000000000005,DQN
266,Seed_0,0.0,DQN
267,Seed_0,0.0,DQN
268,Seed_0,0.0,DQN
269,Seed_0,10.909999999999997,DQN
270,Seed_0,0.0,DQN
271,Seed_0,1.5999999999999999,DQN
272,Seed_0,1.7599999999999996,DQN
273,Seed_0,1.8499999999999996,DQN
274,Seed_0,1.81,DQN
275,Seed_0,0.0,DQN
276,Seed_0,0.0,DQN
277,Seed_0,0.0,DQN
278,Seed_0,4.089999999999999,DQN
279,Seed_0,3.7,DQN
280,Seed_0,5.730000000000001,DQN
281,Seed_0,13.849999999999998,DQN
282,Seed_0,10.749999999999993,DQN
283,Seed_0,12.190000000000001,DQN
284,Seed_0,0.0,DQN
285,Seed_0,6.309999999999996,DQN
286,Seed_0,10.749999999999996,DQN
287,Seed_0,0.0,DQN
288,Seed_0,0.0,DQN
289,Seed_0,10.749999999999996,DQN
290,Seed_0,0.0,DQN
291,Seed_0,0.0,DQN
292,Seed_0,0.0,DQN
293,Seed_0,0.0,DQN
294,Seed_0,0.0,DQN
295,Seed_0,1.5199999999999996,DQN
296,Seed_0,0.0,DQN
297,Seed_0,2.0499999999999994,DQN
298,Seed_0,2.4899999999999993,DQN
299,Seed_0,10.749999999999996,DQN
300,Seed_0,10.909999999999997,DQN
301,Seed_0,5.129999999999999,DQN
302,Seed_0,0.0,DQN
303,Seed_0,6.729999999999999,DQN
304,Seed_0,0.0,DQN
305,Seed_0,4.529999999999998,DQN
306,Seed_0,4.689999999999998,DQN
307,Seed_0,0.0,DQN
308,Seed_0,6.87,DQN
309,Seed_0,0.0,DQN
310,Seed_0,0.0,DQN
311,Seed_0,6.299999999999999,DQN
312,Seed_0,5.009999999999998,DQN
313,Seed_0,10.429999999999996,DQN
314,Seed_0,13.309999999999999,DQN
315,Seed_0,0.0,DQN
316,Seed_0,0.0,DQN
317,Seed_0,5.33,DQN
318,Seed_0,7.99,DQN
319,Seed_0,7.119999999999996,DQN
320,Seed_0,0.0,DQN
321,Seed_0,0.0,DQN
322,Seed_0,0.0,DQN
323,Seed_0,10.909999999999997,DQN
324,Seed_0,4.849999999999998,DQN
325,Seed_0,0.0,DQN
326,Seed_0,0.0,DQN
327,Seed_0,10.589999999999996,DQN
328,Seed_0,0.0,DQN
329,Seed_0,5.089999999999998,DQN
330,Seed_0,3.8600000000000003,DQN
331,Seed_0,5.53,DQN
332,Seed_0,5.729999999999999,DQN
333,Seed_0,0.0,DQN
334,Seed_0,0.0,DQN
335,Seed_0,0.0,DQN
336,Seed_0,4.550000000000001,DQN
337,Seed_0,5.49,DQN
338,Seed_0,0.10999999999999999,DQN
339,Seed_0,1.4499999999999997,DQN
340,Seed_0,6.109999999999996,DQN
341,Seed_0,2.4499999999999993,DQN
342,Seed_0,0.0,DQN
343,Seed_0,10.749999999999996,DQN
344,Seed_0,6.429999999999996,DQN
345,Seed_0,0.0,DQN
346,Seed_0,0.0,DQN
347,Seed_0,10.589999999999996,DQN
348,Seed_0,0.0,DQN
349,Seed_0,11.389999999999997,DQN
350,Seed_0,6.12,DQN
351,Seed_0,0.0,DQN
352,Seed_0,0.0,DQN
353,Seed_0,0.0,DQN
354,Seed_0,0.43000000000000005,DQN
355,Seed_0,2.71,DQN
356,Seed_0,0.0,DQN
357,Seed_0,5.779999999999998,DQN
358,Seed_0,0.0,DQN
359,Seed_0,0.0,DQN
360,Seed_0,0.0,DQN
361,Seed_0,0.0,DQN
362,Seed_0,5.909999999999997,DQN
363,Seed_0,0.0,DQN
364,Seed_0,12.510000000000002,DQN
365,Seed_0,0.0,DQN
366,Seed_0,7.109999999999996,DQN
367,Seed_0,0.0,DQN
368,Seed_0,5.929999999999996,DQN
369,Seed_0,6.209999999999999,DQN
370,Seed_0,2.569999999999999,DQN
371,Seed_0,0.0,DQN
372,Seed_0,0.91,DQN
373,Seed_0,0.0,DQN
374,Seed_0,5.859999999999999,DQN
375,Seed_0,0.0,DQN
376,Seed_0,5.7700000000000005,DQN
377,Seed_0,0.0,DQN
378,Seed_0,0.28,DQN
379,Seed_0,8.97,DQN
380,Seed_0,0.44999999999999996,DQN
381,Seed_0,0.0,DQN
382,Seed_0,4.31,DQN
383,Seed_0,0.0,DQN
384,Seed_0,5.669999999999996,DQN
385,Seed_0,0.0,DQN
386,Seed_0,0.0,DQN
387,Seed_0,0.0,DQN
388,Seed_0,6.749999999999998,DQN
389,Seed_0,9.289999999999997,DQN
390,Seed_0,0.0,DQN
391,Seed_0,9.11,DQN
392,Seed_0,6.889999999999996,DQN
393,Seed_0,0.0,DQN
394,Seed_0,10.589999999999996,DQN
395,Seed_0,11.229999999999997,DQN
396,Seed_0,0.0,DQN
397,Seed_0,10.589999999999996,DQN
398,Seed_0,10.429999999999996,DQN
399,Seed_0,12.350000000000005,DQN
400,Seed_0,0.0,DQN
401,Seed_0,0.0,DQN
402,Seed_0,0.0,DQN
403,Seed_0,5.5799999999999965,DQN
404,Seed_0,0.0,DQN
405,Seed_0,0.0,DQN
406,Seed_0,0.0,DQN
407,Seed_0,7.149999999999997,DQN
408,Seed_0,0.0,DQN
409,Seed_0,6.689999999999997,DQN
410,Seed_0,3.3499999999999996,DQN
411,Seed_0,6.049999999999996,DQN
412,Seed_0,3.05,DQN
413,Seed_0,7.489999999999998,DQN
414,Seed_0,0.29000000000000004,DQN
415,Seed_0,12.670000000000002,DQN
416,Seed_0,6.529999999999997,DQN
417,Seed_0,13.610000000000003,DQN
