Algorithm,mean_score,std_score,n,sem,ci_low,ci_high
A2C,10.429999999999996,0.0,5,0.0,10.429999999999996,10.429999999999996
DQN,5.2719999999999985,4.92820149750393,5,2.2039587110470094,0.9522409263478604,9.591759073652137
Double_DQN,7.2819999999999965,6.968405125995471,5,3.1163655112967716,1.173923597858324,13.39007640214167
Dueling_DQN,7.345999999999999,6.803398415497949,5,3.0425722670135547,1.3825583566534325,13.309441643346567
PPO,130.51399999999995,0.6582400777831721,5,0.2943739118875843,129.93702713270028,131.09097286729963
